name,season,total_home_goals,total_away_goals,average_goals
England Premier League,2008/2009,532,410,2.4789473684210526
England Premier League,2009/2010,645,408,2.7710526315789474
England Premier League,2010/2011,617,446,2.7973684210526315
England Premier League,2011/2012,604,462,2.805263157894737
England Premier League,2012/2013,592,471,2.7973684210526315
England Premier League,2013/2014,598,454,2.768421052631579
England Premier League,2014/2015,560,415,2.5657894736842106
England Premier League,2015/2016,567,459,2.7
France Ligue 1,2008/2009,489,369,2.2578947368421054
France Ligue 1,2009/2010,528,388,2.4105263157894736
France Ligue 1,2010/2011,510,380,2.3421052631578947
France Ligue 1,2011/2012,560,396,2.5157894736842104
France Ligue 1,2012/2013,558,409,2.544736842105263
France Ligue 1,2013/2014,538,395,2.455263157894737
France Ligue 1,2014/2015,536,411,2.4921052631578946
France Ligue 1,2015/2016,546,414,2.526315789473684
Germany 1. Bundesliga,2008/2009,520,374,2.9215686274509802
Germany 1. Bundesliga,2009/2010,463,403,2.8300653594771243
Germany 1. Bundesliga,2010/2011,504,390,2.9215686274509802
Germany 1. Bundesliga,2011/2012,508,367,2.8594771241830066
Germany 1. Bundesliga,2012/2013,487,411,2.934640522875817
Germany 1. Bundesliga,2013/2014,535,432,3.1601307189542482
Germany 1. Bundesliga,2014/2015,486,357,2.7549019607843137
Germany 1. Bundesliga,2015/2016,479,387,2.8300653594771243
Italy Serie A,2008/2009,578,410,2.6
Italy Serie A,2009/2010,586,406,2.610526315789474
Italy Serie A,2010/2011,544,411,2.513157894736842
Italy Serie A,2011/2012,541,384,2.583798882681564
Italy Serie A,2012/2013,568,435,2.639473684210526
Italy Serie A,2013/2014,584,451,2.723684210526316
Italy Serie A,2014/2015,568,450,2.6860158311345645
Italy Serie A,2015/2016,559,420,2.5763157894736843
Spain LIGA BBVA,2008/2009,631,470,2.8973684210526316
Spain LIGA BBVA,2009/2010,608,423,2.713157894736842
Spain LIGA BBVA,2010/2011,622,420,2.7421052631578946
Spain LIGA BBVA,2011/2012,638,412,2.763157894736842
Spain LIGA BBVA,2012/2013,641,450,2.8710526315789475
Spain LIGA BBVA,2013/2014,620,425,2.75
Spain LIGA BBVA,2014/2015,584,425,2.655263157894737
Spain LIGA BBVA,2015/2016,615,428,2.7447368421052634
